line,Chainage,Elevation
MB03,519.8449323,3.8468
MB03,520.3741835,3.9253
MB03,520.7415605,3.9112
MB03,524.0420374,4.0714
MB03,524.0686883,4.0702
MB03,524.8773655,3.9902
MB03,527.9532636,4.0875
MB03,528.2468708,4.0731
MB03,528.3850293,4.0875
MB03,528.6439746,4.0899
MB03,528.9580883,4.1384
MB03,531.2822425,4.3723
MB03,533.4652221,4.3789
MB03,533.983747,4.3964
MB03,535.4411948,4.4647
MB03,538.7331782,4.6639
MB03,541.7608882,4.6985
MB03,542.7535799,4.7375
MB03,543.862286,4.8811
MB03,544.7732925,4.8045
MB03,545.3259718,4.7868
MB03,545.5217323,4.7565
MB03,548.7522058,4.8885
MB03,549.7403181,4.9691
MB03,550.8924062,4.9619
MB03,552.1808182,4.984
MB03,553.1587559,5.0254
MB03,554.5257645,4.9448
MB03,555.2587379,4.879
MB03,556.3087637,4.7375
MB03,557.4258626,4.717
MB03,559.5936876,4.6891
MB03,559.8935405,4.7235
MB03,560.3391219,4.7246
MB03,563.6038891,4.8369
MB03,565.6731613,4.8065
MB03,565.9509129,4.804
MB03,566.4745084,4.8189
MB03,569.236546,4.9717
MB03,569.8276014,5.0271
MB03,570.5734753,4.9773
MB03,573.9548658,5.0284
MB03,575.1946754,5.0996
MB03,576.010549,4.9625
MB03,576.9145764,4.7727
MB03,579.8581889,4.1084
MB03,583.0001757,3.4084
MB03,583.178404,3.3634
MB03,583.6239746,3.3483
MB03,585.346298,3.0506
MB03,586.0099653,2.938
MB03,587.3760237,2.7898
MB03,588.4043147,2.6233
MB03,589.4756975,2.4419
MB03,591.7100795,2.1589
MB03,593.4710107,1.969
MB03,594.7497253,1.694
MB03,596.9469296,1.4126
MB03,597.9449864,1.3116
MB03,599.0595024,1.2009
MB03,601.2563848,0.8355
MB03,601.880129,0.8699
MB03,602.2278013,0.8318
MB03,605.4518049,0.3978
MB03,606.1225526,0.3654
MB03,607.2154717,0.2304
MB03,610.5293233,-0.1143
MB03,612.4611346,-0.09
MB03,613.4367854,-0.0741
MB03,614.1466136,-0.1327
MB03,615.4860855,-0.2551
MB03,617.5831146,-0.5036
MB03,618.7567228,-0.5238
MB03,619.4410914,-0.6562
