XS_ID,Point_ID,Running Distance (m),Offset,Reduced_Level,Level_Datum,G_Northing,G_Easting,G_Datum,Circuit,Code
MB2,2039,327.769,-0.001,100.569,Otago Vertical Datum,4862617.438,1353648.563,NZGD2000,NZTM,Spot Height
MB2,2040,330.07,0.005,100.746,Otago Vertical Datum,4862615.788,1353650.167,NZGD2000,NZTM,Fence
MB2,2041,331.165,-0.004,100.79,Otago Vertical Datum,4862615.012,1353650.939,NZGD2000,NZTM,Stop Bank
MB2,2042,332.145,-0.001,101.132,Otago Vertical Datum,4862614.309,1353651.622,NZGD2000,NZTM,Stop Bank
MB2,2043,334.824,0.003,102.369,Otago Vertical Datum,4862612.39,1353653.492,NZGD2000,NZTM,Stop Bank
MB2,2044,336.684,0.007,102.451,Otago Vertical Datum,4862611.058,1353654.789,NZGD2000,NZTM,Stop Bank
MB2,2045,338.354,-0.001,102.372,Otago Vertical Datum,4862609.869,1353655.963,NZGD2000,NZTM,Stop Bank
MB2,2046,342.064,0.011,100.906,Otago Vertical Datum,4862607.208,1353658.547,NZGD2000,NZTM,Stop Bank
MB2,2047,347.84,0.003,100.733,Otago Vertical Datum,4862603.084,1353662.591,NZGD2000,NZTM,Spot Height
MB2,2048,349.811,-0.011,100.405,Otago Vertical Datum,4862601.684,1353663.979,NZGD2000,NZTM,Spot Height
MB2,2049,350.879,-0.002,99.786,Otago Vertical Datum,4862600.914,1353664.719,NZGD2000,NZTM,Spot Height
MB2,2050,356.061,-0.007,99.481,Otago Vertical Datum,4862597.212,1353668.345,NZGD2000,NZTM,Spot Height
MB2,2051,362.538,0.003,99.079,Otago Vertical Datum,4862592.574,1353672.866,NZGD2000,NZTM,Spot Height
MB2,2052,366.099,-0.002,99.017,Otago Vertical Datum,4862590.031,1353675.359,NZGD2000,NZTM,Water level
MB2,2053,367.17,0.002,98.354,Otago Vertical Datum,4862589.262,1353676.105,NZGD2000,NZTM,Mud and Sand
MB2,2054,413.444,0.005,98.557,Otago Vertical Datum,4862556.172,1353708.452,NZGD2000,NZTM,Mud and Sand
MB2,2055,419.47,0.003,98.654,Otago Vertical Datum,4862551.865,1353712.666,NZGD2000,NZTM,Mud and Sand
MB2,2056,429.745,0.011,98.8,Otago Vertical Datum,4862544.512,1353719.844,NZGD2000,NZTM,Mud and Sand
MB2,2057,440.191,0.009,98.83,Otago Vertical Datum,4862537.044,1353727.147,NZGD2000,NZTM,Mud and Sand
MB2,2058,449.97,-0.001,98.826,Otago Vertical Datum,4862530.059,1353733.991,NZGD2000,NZTM,Mud and Sand
MB2,2059,459.311,0.002,98.833,Otago Vertical Datum,4862523.377,1353740.519,NZGD2000,NZTM,Mud and Sand
MB2,2060,470.006,0.006,98.766,Otago Vertical Datum,4862515.727,1353747.993,NZGD2000,NZTM,Mud and Sand
MB2,2061,482.138,0.02,99.205,Otago Vertical Datum,4862507.042,1353756.464,NZGD2000,NZTM,Water level
MB2,2062,491.996,0.007,99.413,Otago Vertical Datum,4862500.003,1353763.365,NZGD2000,NZTM,Swamp
MB2,2063,505.863,0.011,99.445,Otago Vertical Datum,4862490.084,1353773.056,NZGD2000,NZTM,Swamp
MB2,2064,522.12,0.008,99.497,Otago Vertical Datum,4862478.462,1353784.423,NZGD2000,NZTM,Swamp
MB2,2065,533.128,0.005,99.534,Otago Vertical Datum,4862470.593,1353792.121,NZGD2000,NZTM,Swamp
MB2,2066,544.575,0.037,99.528,Otago Vertical Datum,4862462.385,1353800.1,NZGD2000,NZTM,Swamp
MB2,2067,551.416,-0.008,99.911,Otago Vertical Datum,4862457.525,1353804.915,NZGD2000,NZTM,Swamp
MB2,2068,555.094,0.005,100.242,Otago Vertical Datum,4862454.886,1353807.477,NZGD2000,NZTM,Vegetation
MB2,2069,567.187,0.003,100.399,Otago Vertical Datum,4862446.241,1353815.932,NZGD2000,NZTM,Vegetation
MB2,2070,578.065,0.008,100.196,Otago Vertical Datum,4862438.459,1353823.533,NZGD2000,NZTM,Vegetation
MB2,2071,587.116,0.01,100.382,Otago Vertical Datum,4862431.985,1353829.859,NZGD2000,NZTM,Vegetation
MB2,2072,588.161,0.016,99.69,Otago Vertical Datum,4862431.234,1353830.585,NZGD2000,NZTM,Vegetation
MB2,2073,591.038,-0.013,99.176,Otago Vertical Datum,4862429.197,1353832.617,NZGD2000,NZTM,Vegetation
MB2,2074,591.788,0.004,100.424,Otago Vertical Datum,4862428.649,1353833.129,NZGD2000,NZTM,Vegetation
MB2,2075,596.098,0.003,100.313,Otago Vertical Datum,4862425.568,1353836.143,NZGD2000,NZTM,Vegetation
MB2,2076,604.94,-0.012,100.413,Otago Vertical Datum,4862419.256,1353842.335,NZGD2000,NZTM,Vegetation
MB2,2077,620.304,0.007,100.54,Otago Vertical Datum,4862408.257,1353853.062,NZGD2000,NZTM,Vegetation
MB2,2078,628.932,0.011,100.5,Otago Vertical Datum,4862402.084,1353859.091,NZGD2000,NZTM,Vegetation
MB2,2079,638.185,0.003,100.484,Otago Vertical Datum,4862395.474,1353865.565,NZGD2000,NZTM,Vegetation
MB2,2080,645.239,-0.004,100.406,Otago Vertical Datum,4862390.435,1353870.501,NZGD2000,NZTM,Vegetation
MB2,2081,659.583,-0.004,100.578,Otago Vertical Datum,4862380.178,1353880.529,NZGD2000,NZTM,Vegetation
MB2,2082,669.777,0.01,100.571,Otago Vertical Datum,4862372.879,1353887.645,NZGD2000,NZTM,Vegetation
MB2,2083,682.052,0.01,100.607,Otago Vertical Datum,4862364.102,1353896.226,NZGD2000,NZTM,Vegetation
MB2,2084,692.961,0.007,100.467,Otago Vertical Datum,4862356.304,1353903.855,NZGD2000,NZTM,Vegetation
MB2,2085,706.737,0.01,100.604,Otago Vertical Datum,4862346.451,1353913.483,NZGD2000,NZTM,Vegetation
MB2,2086,717.188,0.003,100.501,Otago Vertical Datum,4862338.983,1353920.795,NZGD2000,NZTM,Vegetation
MB2,2087,727.688,-0.004,100.547,Otago Vertical Datum,4862331.48,1353928.14,NZGD2000,NZTM,Vegetation
MB2,2088,738.14,0.001,100.519,Otago Vertical Datum,4862324.003,1353935.443,NZGD2000,NZTM,Vegetation
MB2,2089,749.126,0,100.826,Otago Vertical Datum,4862316.148,1353943.123,NZGD2000,NZTM,Vegetation
MB2,2090,753.669,0.005,101.184,Otago Vertical Datum,4862312.896,1353946.296,NZGD2000,NZTM,Vegetation
MB2,2091,759.774,0,100.099,Otago Vertical Datum,4862308.535,1353950.567,NZGD2000,NZTM,Vegetation
MB2,2092,766.568,-0.001,99.241,Otago Vertical Datum,4862303.677,1353955.318,NZGD2000,NZTM,Water level
MB2,2093,769.748,0.017,98.402,Otago Vertical Datum,4862301.39,1353957.528,NZGD2000,NZTM,Mud and Sand
MB2,2094,805.005,0.007,98.498,Otago Vertical Datum,4862276.187,1353982.183,NZGD2000,NZTM,Mud and Sand
MB2,2095,807.666,-0.014,99.237,Otago Vertical Datum,4862274.299,1353984.058,NZGD2000,NZTM,Water level
MB2,2096,816.168,-0.003,100.726,Otago Vertical Datum,4862268.212,1353989.993,NZGD2000,NZTM,Vegetation
MB2,2097,822.09,0.007,101.61,Otago Vertical Datum,4862263.97,1353994.126,NZGD2000,NZTM,Sand
MB2,2098,828.94,0,102.24,Otago Vertical Datum,4862259.077,1353998.92,NZGD2000,NZTM,Sand
MB2,2099,836.011,0.009,102.566,Otago Vertical Datum,4862254.015,1354003.856,NZGD2000,NZTM,Sand
MB2,2100,844.675,0.006,102.948,Otago Vertical Datum,4862247.822,1354009.915,NZGD2000,NZTM,Sand
MB2,2101,852.699,0.003,103.396,Otago Vertical Datum,4862242.086,1354015.527,NZGD2000,NZTM,Sand
MB2,2102,861.125,0.007,103.818,Otago Vertical Datum,4862236.059,1354021.415,NZGD2000,NZTM,Sand
MB2,2103,870.75,0.006,104.326,Otago Vertical Datum,4862229.177,1354028.144,NZGD2000,NZTM,Sand
MB2,2104,878.692,0.037,104.639,Otago Vertical Datum,4862223.476,1354033.674,NZGD2000,NZTM,Sand
MB2,2105,884.246,0.009,104.662,Otago Vertical Datum,4862219.525,1354037.577,NZGD2000,NZTM,Sand
MB2,2106,890.288,0.011,104.17,Otago Vertical Datum,4862215.203,1354041.799,NZGD2000,NZTM,Sand
MB2,2107,897.153,-0.013,103.419,Otago Vertical Datum,4862210.311,1354046.615,NZGD2000,NZTM,Sand
MB2,2108,904.478,0.004,103.175,Otago Vertical Datum,4862205.061,1354051.724,NZGD2000,NZTM,Sand
MB2,2109,908.669,0.002,102.389,Otago Vertical Datum,4862202.066,1354054.655,NZGD2000,NZTM,Sand
MB2,2110,916.225,-0.008,101.079,Otago Vertical Datum,4862196.67,1354059.945,NZGD2000,NZTM,Sand
MB2,2111,924.275,0.005,99.965,Otago Vertical Datum,4862190.905,1354065.563,NZGD2000,NZTM,Sand
MB2,2112,931.867,0.004,99.302,Otago Vertical Datum,4862185.477,1354070.871,NZGD2000,NZTM,Sand
MB2,2113,945.856,-0.018,98.46,Otago Vertical Datum,4862175.49,1354080.666,NZGD2000,NZTM,Sand
,,,,,,,,,,
MB3,3000,0,0,100.886,Otago Vertical Datum,4864449.39,1355795.242,NZGD2000,NZTM,Spot Height
MB3,3001,16.172,-0.009,100.968,Otago Vertical Datum,4864437.676,1355806.392,NZGD2000,NZTM,Spot Height
MB3,3002,31.747,-0.006,100.573,Otago Vertical Datum,4864426.387,1355817.122,NZGD2000,NZTM,Spot Height
MB3,3003,38.356,0.002,100.405,Otago Vertical Datum,4864421.592,1355821.671,NZGD2000,NZTM,Spot Height
MB3,3004,48.064,-0.001,100.628,Otago Vertical Datum,4864414.559,1355828.362,NZGD2000,NZTM,Spot Height
MB3,3005,62.992,-0.002,100.512,Otago Vertical Datum,4864403.741,1355838.649,NZGD2000,NZTM,Spot Height
MB3,3006,68.973,-0.021,100.945,Otago Vertical Datum,4864399.42,1355842.784,NZGD2000,NZTM,Fence
MB3,3007,75.137,-0.002,102.471,Otago Vertical Datum,4864394.94,1355847.018,NZGD2000,NZTM,Spot Height
MB3,3008,78.487,0.007,102.481,Otago Vertical Datum,4864392.506,1355849.32,NZGD2000,NZTM,Spot Height
MB3,3009,83.702,-0.013,100.805,Otago Vertical Datum,4864388.741,1355852.928,NZGD2000,NZTM,Spot Height
MB3,3010,87.401,-0.002,100.39,Otago Vertical Datum,4864386.052,1355855.469,NZGD2000,NZTM,Water Level
MB3,3011,98.595,0.014,100.041,Otago Vertical Datum,4864377.929,1355863.171,NZGD2000,NZTM,Mud and Sand
MB3,3012,108.141,-0.02,98.902,Otago Vertical Datum,4864371.034,1355869.773,NZGD2000,NZTM,Mud and Sand
MB3,3013,294.728,0.001,99.354,Otago Vertical Datum,4864235.801,1355998.329,NZGD2000,NZTM,Mud and Sand
MB3,3014,296.113,-0.004,100.379,Otago Vertical Datum,4864234.801,1355999.287,NZGD2000,NZTM,Water Level
MB3,3015,303.493,0.005,100.393,Otago Vertical Datum,4864229.446,1356004.366,NZGD2000,NZTM,Mud and Sand
MB3,3016,310.115,0.005,100.307,Otago Vertical Datum,4864224.648,1356008.929,NZGD2000,NZTM,Fence
MB3,3017,321.228,0.006,100.238,Otago Vertical Datum,4864216.593,1356016.586,NZGD2000,NZTM,Spot Height
MB3,3018,336.183,0,100.203,Otago Vertical Datum,4864205.76,1356026.895,NZGD2000,NZTM,Spot Height
MB3,3019,353.208,-0.025,100.295,Otago Vertical Datum,4864193.439,1356038.645,NZGD2000,NZTM,Spot Height
MB3,3020,366.587,-0.02,100.334,Otago Vertical Datum,4864183.74,1356047.86,NZGD2000,NZTM,Spot Height
MB3,3021,371.183,-0.014,100.17,Otago Vertical Datum,4864180.405,1356051.023,NZGD2000,NZTM,Spot Height
MB3,3022,372.452,-0.009,99.666,Otago Vertical Datum,4864179.482,1356051.894,NZGD2000,NZTM,Drain
MB3,3023,373.377,-0.007,99.681,Otago Vertical Datum,4864178.81,1356052.53,NZGD2000,NZTM,Drain
MB3,3024,374.845,0.002,100.277,Otago Vertical Datum,4864177.74,1356053.535,NZGD2000,NZTM,Spot Height
MB3,3025,379.336,-0.012,100.75,Otago Vertical Datum,4864174.495,1356056.64,NZGD2000,NZTM,Spot Height
MB3,3026,394.478,-0.012,100.909,Otago Vertical Datum,4864163.522,1356067.073,NZGD2000,NZTM,Spot Height
MB3,3027,400.433,-0.022,101.778,Otago Vertical Datum,4864159.213,1356071.184,NZGD2000,NZTM,Spot Height
